SHIP_TO_CITY_CD,RMB_DOLLARS,SHIP_TO_CITY_CD_ENG,PROVINCE,PER_CAPITA_USD,normalized_sales,cluster
百色,349162.85000000003,Baise,Baise,6803,-0.35474368905104314,2
益阳,524007.67000000004,Yiyang,Hunan,8263,-0.34092739809703054,2
盐城,12600832.290000001,Yancheng,Jiangsu,11504,0.6133869633493219,0
盘锦,2029072.29,Panjin,Liaoning,14025,-0.2219967332108167,2
眉山,1180932.8800000001,Meishan,Sichuan,5520,-0.2890169678287171,2
石嘴山,240412.4,Shizuishan,Shizuishan,9929,-0.3633371827477954,2
石家庄,13206624.73,Shijiazhuang,Hebei,7664,0.6612568665513795,0
石河子,177073.47,Shihezi,Shihezi,,-0.3683422442966354,2
神农架林区,14157.52,Shennongjia,Hubei,4383,-0.38121591230835783,2
福州,22972312.26,Fuzhou,Fujian,19293,1.4329444709107908,0
秦皇岛,3550627.86,Qinhuangdao,Hebei,,-0.10176294843058442,2
红河哈尼族彝族自治州,700846.1,Honghe Hani and Yi Autonomous Prefecture,Yunnan,9553,-0.3269535714733377,2
绍兴,11133374.870000001,Shaoxing,Zhejiang,17500,0.4974280308665372,0
绥化,1851464.03,Suihua,Heilongjiang,3708,-0.2360313920356873,2
绵阳,2064409.96,Mianyang,Sichuan,5740,-0.21920433975954443,2
聊城,2640735.87,Liaocheng,Shandong,7848,-0.17366289073694213,2
肇庆,2016677.1400000001,Zhaoqing,Guangdong,9962,-0.22297620174078875,2
自贡,855745.17,Zigong,Sichuan,6655,-0.31471339976206847,2
舟山,1386350.56,Zhoushan,Zhejiang,16999,-0.27278480016153517,2
芜湖,6411662.100000001,Wuhu,Anhui,18163,0.12431684901055376,2
苏州,50724167.06,Suzhou,Jiangsu,27629,3.625904493577236,1
茂名,2595875.12,Maoming,Guangdong,9246,-0.1772078008716274,2
荆州,2063438.32,Jingzhou (disambiguation),Jingzhou (disambiguation),,-0.2192811190484164,2
荆门,1180161.21,Jingmen,Hubei,7706,-0.28907794542725557,2
莆田,3130706.23,Putian,Fujian,12995,-0.13494528358905933,2
莱芜,6105.31,"Laiwu, Jinan",Shandong,,-0.38185220039617657,2
菏泽,2809442.8200000003,Heze,Shandong,5317,-0.16033161614062263,2
萍乡,856714.21,Pingxiang,Jiangxi,7728,-0.3146368259259887,2
营口,2727948.09,Yingkou,Liaoning,9942,-0.16677135453778366,2
葫芦岛,1707750.24,Huludao,Liaoning,4507,-0.24738769951304845,2
蚌埠,2602410.48,Bengbu,Anhui,9295,-0.17669137473301366,2
衡水,1567844.47,Hengshui,Hebei,4422,-0.25844309608965377,2
衡阳,1520504.78,Hengyang,Hunan,8288,-0.26218389281850596,2
衢州,2399876.27,Quzhou,Zhejiang,10115,-0.1926956897221628,2
襄阳,2840496.71,Xiangyang,Hubei,9684,-0.15787772829027685,2
